主播名称,直播类型,观众数量
豆豆uiui,颜值,4万
唯妮Winny,穿越火线,4万
航空鸣圣,皇室战争,4万
深山大咖,美食,3.9万
小呆萝拉Lola,二次元,3.9万
解小亮,绝地求生,3.9万
刘灶灶,二次元,3.9万
Oo大哥洁oO,颜值,3.9万
PVP导演丶蓝雨,阴阳师,3.8万
杀手凌凌漆,荒岛特训,3.8万
刀疤城丶你41朵小菊花,英雄联盟,3.8万
春天你要快乐,颜值,3.8万
千叶豆豆,颜值,3.8万
神楽坂真冬,二次元,3.8万
肾亏大仙人,棋牌娱乐,3.7万
老戴在此,怪物猎人 世界,3.7万
政达光明,正能量,3.7万
KazeLink,主机游戏,3.7万
双胞胎雪雪哦,颜值,3.6万
苏打锋,王者荣耀,3.5万
V豆腐小哥哥,二次元,3.5万
隔壁家的小妹妹,DNF,3.5万
7952弥心,王者荣耀,3.5万
美美的旅行日记,户外,3.4万
老猫CatGames,主机游戏,3.4万
Sylvia维乐,绝地求生,3.4万
是全场最可爱的肥仔,颜值,3.4万
GTR乖婷儿,绝地求生,3.4万
我爱吃远饭,格斗游戏,3.3万
老朱Zuriel739,主机游戏,3.3万
泡芙甜小心,颜值,3.3万
kiki瓜,二次元,3.3万
夕夕夕颜啊,颜值,3.3万
Sss路易十,户外,3.3万
惊蜇,王者荣耀,3.3万
哑妹钢枪女战士,绝地求生,3.3万
饼饼ui,颜值,3.2万
裤裆里家族丶力宝,英雄联盟,3.2万
ASMR猫心儿,二次元,3.2万
走黯,绝地求生,3.2万
灰灰我服,绝地求生,3.2万
HiJane,绝地求生,3.1万
樱樱alice,颜值,3.1万
鱼儿小师妹,颜值,3.1万
lilithxy,DOTA2,3.1万
我有上将潘森,主机游戏,3.1万
瑞秋不打碟,绝地求生,3.1万
暴风工作室丶,英雄联盟,3.1万
姜小兆,颜值,3万
许阿姨,王者荣耀,3万
雅典娜哥特,王者荣耀,3万
林旧Lin9,绝地求生,3万
萌工房女仆丶古川酱,二次元,3万
上官冰馨m,颜值,3万
770丶,颜值,3万
饺子君SAMA,二次元,2.9万
纯粹最可爱,颜值,2.9万
主任4444l死了,绝地求生,2.9万
JyZhang,主机游戏,2.9万
葱花儿姐姐,颜值,2.9万
杭州普天电脑,数码科技,2.9万
高冷萌月亮,颜值,2.9万
一笑zy,DNF,2.9万
小狸姑娘,二次元,2.9万
Linkin丶Fight,绝地求生,2.9万
进击の神乐,视听点评,2.9万
萌萌哒夏夏丶,颜值,2.9万
姜小兆,颜值,2.8万
隐庄大庄主,户外,2.8万
雷婷丶,王者荣耀,2.8万
Novaa,风暴英雄,2.8万
一笑zy,DNF,2.8万
最骚的六神弟弟,光荣使命,2.8万
JyZhang,主机游戏,2.8万
Dy灬三金,其他手游,2.8万
东北乱炖,怀旧游戏,2.8万
灰灰我服,绝地求生,2.8万
葱花儿姐姐,颜值,2.8万
笑看王者路丶小米,王者荣耀,2.8万
哑妹钢枪女战士,绝地求生,2.8万
香伶丨AuroLing,音乐,2.8万
微甜吖,荒岛特训,2.8万
安九的小耳朵,颜值,2.8万
白菜baby,颜值,2.8万
